 ,ORDER,FAMILY,GENUS,SPECIES,COUNTRY,STATE,COUNTY,LOCALITY1,LOCALITY2,LEGAL_TRS,LAT,LONG,LATDEG,LATMIN,LATSEC,LATHEM,LONGDEG,LONGMIN,LONGSEC,LONGHEM,HABITAT,DAYCOLLFRM,MONCOLLFRM,YRCOLLFROM,ELEV_FT,SEX,REPROD,AGE,COLLECTOR,PREPARER,PARTS,POSSIBLE HYBRID,SPECCOL,Alveolar length,Diastema length,M1 length,M2 Length,M3 Length,M1 Width,M1M2 Length,Total length (TL),Tail vertebra (TV),Hindfoot (HF),Ear (EA),Weight
FW00019,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,KLAMATH CO,"8 MI. NW KLAMATH FALLS, GEARY RANCH",,,,,42,14,,N,121,53,,W,,16,MAR,1961,,Female,N,Ad,"E. HANSEN, -",N,SKIN AND SKULL,,N,8.98,6.45,3.45,2.58,2.27,2.08,6.35,405.00,204.00,39.00,29.00,192.00
FW00180,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,BENTON CO,"MCDONALD FOREST, JUNCTION OF SCHNEDER & NETTLETON RDS.",,,,,0,0,,N,0,0,,W,,24,SEP,1967,,Male,N,Ad,"B. J. VERTS, BJV-3-ORE",N,SKIN AND SKULL,,N,9.01,7.76,3.45,2.66,2.37,2.00,6.35,444.00,222.00,41.00,34.00,234.50
FW00289,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,BENTON CO,"7 MI. N CORVALLIS, E.E. WILSON GAME MGMT. AREA",,,,,44,41,,N,123,13,,W,,29,OCT,1968,,Male,N,Ad,"D. TRETHEWEY, -",N,SKIN AND SKULL,,N,9.02,7.36,3.32,2.48,2.33,1.88,6.19,407.00,184.00,39.00,32.00,245.70
FW00321,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,WALLOWA CO,"MI. POST # 1, MINAM RIVER",,,,,45,34,,N,117,44,,W,,,APR,1968,,Female,N,,"V.L. COGGINS, -",N,SKULL ONLY,,N,9.06,8.16,3.96,2.56,2.05,2.01,6.63,350.00,140.00,35.00,26.00,246.40
FW00577,RODENTIA,MURIDAE,NEOTOMA,Lepida,U.S.A.,OREGON,MALHEUR CO,3 MI. S ROME,,,,,42,47,,N,117,37,,W,,22,APR,1970,,Female,N,Ad ,"B.J. VERTS, -",N,SKIN AND SKULL,,N,7.66,5.52,3.31,2.46,1.72,1.78,5.94,286.00,118.00,29.00,28.00,122.00
FW00837,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,BENTON CO,2 MI. N CORVALLIS,,,,,44,35,,N,123,15,,W,,25,JUL,1970,,Male,N,vJuv,"S. LUDWIG, -",N,SKIN AND SKULL,,N,8.42,5.67,3.21,2.71,2.00,1.57,6.13,264.00,125.00,29.00,25.00,45.40
FW01486,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,BENTON CO,"3 MI. N OF CORVALLIS, VILLAGE GREEN AREA",,,,,44,36,,N,123,16,,W,,8,OCT,1970,,Male,N,Juv,"T.N. WILLIAMS, 1",N,SKIN AND SKULL,,N,9.48,5.91,3.43,2.49,2.13,1.86,6.24,350.00,170.00,31.00,29.00,151.00
FW01487,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,BENTON CO,0.5 MI. N CORVALLIS,,,,,44,34,,N,123,16,,W,,7,OCT,1970,,Female,N,Ad,"S. LUDWIG, SAL 1",N,SKIN AND SKULL,,N,9.22,7.90,3.69,3.27,2.53,2.05,6.84,444.00,238.00,40.00,30.00,272.90
FW01488,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,BENTON CO,"0.25 MI. N WITHAM HILL ROAD, CORVALLIS",,,,,44,34,,N,123,16,,W,,16,OCT,1970,,Female,N,Ad,"A.M. ANDERSON, 5",N,SKIN AND SKULL,,N,9.12,7.01,3.32,2.48,2.28,1.81,6.14,384.00,190.00,39.00,29.00,174.90
FW01501,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,BENTON CO,2 MI. N CORVALLIS,,,,,44,35,,N,123,15,,W,,1,OCT,1970,,Female,N,Ad,"D.F. CARR, 3",N,SKIN AND SKULL,,N,9.00,7.66,3.15,2.59,2.56,1.76,5.96,441.00,221.00,42.00,37.00,227.00
FW01502,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,BENTON CO,2 MI. N CORVALLIS,,,,,44,35,,N,123,15,,W,,1,OCT,1970,,Female,N,Ad,"D.F. CARR, 2",N,SKIN AND SKULL,,N,9.32,6.27,3.41,2.54,2.27,1.80,6.15,412.00,208.00,41.00,34.00,188.40
FW01505,RODENTIA,MURIDAE,NEOTOMA,Fuscipes,U.S.A.,OREGON,BENTON CO,"1 MI. N, 0.5 MI. W CORVALLIS",,,,,44,35,,N,123,16,,W,,12,NOV,1970,,Male,N,Ad,"D. FRASER, 2",N,SKIN AND SKULL,,N,8.46,7.69,3.49,2.52,2.15,1.94,6.13,398.00,190.00,32.00,19.00,80.00
