    ,ORDER,FAMILY,GENUS,SPECIES,COUNTRY,STATE,COUNTY,LOCALITY1,LOCALITY2,LEGAL_TRS,LAT,LONG,LATDEG,LATMIN,LATSEC,LATHEM,LONGDEG,LONGMIN,LONGSEC,LONGHEM,HABITAT,DAYCOLLFRM,MONCOLLFRM,YRCOLLFROM,ELEV_FT,SEX,REPROD,AGE,COLLECTOR,PREPARER,PARTS,POSSIBLE HYBRID,SPECCOL,Alveolar length,Diastema length,M1 length,M2 Length,M3 Length,Premax to frontal,M1 Width,M1M2 Length,Total length (TL),Tail vertebra (TV),Hindfoot (HF),Ear (EA),Weight
FW00321,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,WALLOWA CO,"MI. POST # 1, MINAM RIVER",,,45.5600,-117.73,45,34,,N,117,44,,W,,,APR,1968,,Female,N,,"V.L. COGGINS, -",N,SKULL ONLY,,N,9.23,14.74,3.69,2.55,2.04,33.07,2.38,6.43,350.00,140.00,35.00,26.00,246.40
FW01739,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,DESCHUTES CO,"1 MI. S, 2 MI. SW TERREBONNE",,,44.3461,-121.18,0,0,,N,0,0,,W,,30,SEP,1982,,Male,TESTIS 3 X 5 MM,Juv,L.N. CARRAWAY AND B.J. VERTS,B.J. VERTS,SKIN AND SKULL,,N,9.70,13.33,3.23,2.69,2.02,31.34,2.22,6.21,331.00,139.00,41.00,33.00,193.20
FW02246,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,DESCHUTES CO,"3 MI. N, 1 MI. W REDMOND",,,44.3100,-121.27,44,19,,N,121,16,,W,,5,NOV,1972,3200,Male,TESTIS 6 X 3 MM,Ad ,"T. HALL, TD-72-6",N,SKIN AND SKULL,,N,8.82,13.75,3.44,2.36,1.92,29.94,2.14,6.05,307.00,124.00,34.00,28.00,209.50
FW02267,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,CROOK CO,"1 MI. N, 5 MI. E OF PRINEVILLE",,,44.3100,-120.74,44,19,,N,120,44,,W,,4,NOV,1972,3000,Female,TESTIS 8 X 5MM,Juv,"R. DEWANTE, RD-72-5",N,SKIN AND SKULL,,N,9.81,14.84,3.57,2.29,2.20,32.82,2.14,6.41,381.00,160.00,46.00,34.00,346.10
FW02352,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,LANE CO,MERCER,,,43.9600,-124.10,43,58,,N,124,6,,W,,16,NOV,1913,,Male,N,,"H. TELFORD, 36",N,SKIN AND SKULL,,N,9.76,15.14,3.62,2.54,2.15,34.03,2.21,6.40,394.00,188.00,45.00,,
FW02353,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,DESCHUTES CO,HEAD OF DAVIS CREEK,,,43.6600,-121.80,43,40,,N,121,48,,W,,9,APR,1914,,Female,N,,"O.J. MURIE, 258",N,SKIN AND SKULL,,N,9.02,14.18,3.43,2.64,2.34,32.53,2.22,6.07,351.00,154.00,42.00,,
FW02356,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,SHERMAN CO,"MILLER, MOUTH OF DESCHUTES RIVER, EAST SIDE",,,45.6300,-120.88,45,38,,N,120,53,,W,,29,JUL,1914,,Male,N,,"A. WALKER, 155",N,SKIN AND SKULL,,N,10.22,13.97,3.64,2.64,2.27,34.46,2.43,6.67,370.00,168.00,41.00,,
FW02358,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,DESCHUTES CO,HEAD OF DAVIS CREEK,,,43.6600,-121.80,43,40,,N,121,48,,W,,4,APR,1914,,Male,N,,"O.J. MURIE, 242",N,SKIN AND SKULL,,N,9.17,14.39,3.57,2.58,2.19,31.70,2.55,6.18,362.00,162.00,43.00,,
FW02359,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,SHERMAN CO,"MILLER, MOUTH OF DESCHUTES RIVER, EAST SIDE, EAST",,,45.6300,-120.88,45,38,,N,120,53,,W,,27,JUL,1914,,Male,N,,"A. WALKER, 148",N,SKIN AND SKULL,,N,9.78,13.76,3.52,2.50,2.26,32.87,2.24,6.29,340.00,152.00,40.00,,
FW02360,RODENTIA,MURIDAE,NEOTOMA,Cinerea,U.S.A.,OREGON,SHERMAN CO,"MILLER, MOUTH OF DESCHUTES RIVER, EAST SIDE",,,45.6300,-120.88,45,38,,N,120,53,,W,,3,AUG,1914,,Male,N,,"A. WALKER, 174",N,SKIN AND SKULL,,N,10.14,13.63,4.02,2.55,2.36,31.88,2.14,6.79,,,,,
