Cave_Number,Excav_Level,Bchron Age,Bchron Age 2SD
5/12A,1,3485.131,385.5120684
5/12A,2,3872.856,441.0944041
5/12A,3,4269.402,674.5947284
5/12A,4,4565.666,781.3406728
5/12A,5,4855.089,837.9906113
5/12A,6,5251.415,877.6856928
5/12A,7,5705.982,899.6547835
5/12A,8,6012.577,889.1700398
5/12A,9,6311.738,850.3946239
5/12A,10,6746.815,743.8194125
5/12A,11,7899.234,419.1231289
5/12A,12,9566.299,940.452364
5/12A,13,11002.687,687.9031668
5/12A,14,11452.514,792.7675622
5/12A,15,11632.872,781.1810355
5/12A,16,11822.864,774.2356171
5/12A,17,12599.728,581.629109
5/12A,18,13039.238,458.6877455
5/12A,19,13247.957,334.7008654
5/12A,20,13347.671,273.7867239
5/12A,21,13486.773,190.5106301
5/12A,22,13615.151,186.8936222
5/12A,23,13837.322,282.5602122
5/12A,24,14190.458,150.0611852
5/12A,25,14281.737,158.3552832
5/12A,26,14324.297,175.2149064
5/12A,27,14366.865,195.9929804
5/12A,28,14423.788,222.8179078
5/12A,29,14537.581,231.5142428
5/12A,30,14652.699,241.7655811
5/12A,31,14701.815,251.1506794
5/12A,32,14741.377,255.7869865
5/12A,33,14788.088,275.2037975
5/12A,34,15023.442,446.9357472
5/12A,35,15222.112,606.5417337
5/12A,36,15409.876,740.6799047
5/12A,37,15589.091,859.5541194
5/12A,38,15773.077,969.5262314
5/12A,39,15963.827,1088.693199
5/12A,40,16142.567,1184.32292
5/12C,1,2086.5735,958.6558156
5/12C,2,3093.7455,175.2239899
5/12C,3,3224.164,242.3014061
5/12C,4,3314.615,285.3823832
5/12C,5,3411.206,341.0247545
5/12C,6,3606.845,397.8923159
5/12C,7,3762.059,417.7987697
5/12C,8,4127.8375,595.7938885
5/12C,9,4430.702,742.1917147
5/12C,10,4723.919,816.0052759
5/12C,11,5030.641,856.087719
5/12C,12,5544.36,905.9449176
5/12C,13,5876.072,884.0840321
5/12C,14,6174.095,870.9248314
5/12C,15,6491.168,810.393495
5/12C,16,7563.942,551.725805
5/12C,17,8797.467,812.6952277
5/12C,18,10345.535,795.7418175
5/12C,19,11242.171,729.2236352
5/12C,20,11540.043,785.4065113
5/12C,21,11726.218,780.3507655
5/12C,22,12428.503,610.8384693
5/12C,23,12801.136,530.6148491
5/12C,24,13196.373,365.8119214
5/12C,25,13301.961,300.4197496
5/12C,26,13406.559,238.7987666
5/12C,27,13559.042,184.8416386
5/12C,28,13733.169,226.9582689
5/12C,29,14032.03,214.1944249
5/12C,30,14259.93,148.373674
5/12C,31,14305.622,167.2668008
5/12C,32,14347.426,187.0943462
5/12C,33,14392.122,206.7480138
5/12C,34,14498.4,233.8020004
5/12C,35,14587.536,235.7475508
5/12C,36,14682.319,246.9558992
5/12C,37,14723.854,254.2055215
5/12C,38,14764.634,262.3341293
5/12C,39,14925.215,377.0662409
5/12C,40,15129.506,532.4230519
5/5A,1,18.017,85.95523921
5/5A,2,758.513,714.5760325
5/5A,3,1205.173,962.4337375
5/5A,4,1611.121,1028.100439
5/5A,5,2015.053,970.1140438
5/5A,6,2419.583,821.799839
5/5A,7,2917.961,414.068674
5/5A,8,3207.109,230.5080355
5/5A,9,3298.534,277.5411906
5/5A,10,3393.088,330.8471745
5/5A,11,3579.092,397.9179222
5/5A,12,3733.201,411.7223016
5/5A,13,4065.761,558.7373434
5/5A,14,4378.336,718.1735512
5/5A,15,4676.363,805.8091469
5/5A,16,4972.087,851.6993351
5/5A,17,5476.802,891.8728701
5/5A,18,5822.534,885.3820829
5/5A,19,6121.436,875.0857139
5/5A,20,6429.672,824.9190391
5/5A,21,7781.203,447.1942462
5/5A,22,10767.05,742.2443834
5/5A,23,11597.857,786.5920984
5/5A,24,12735.476,548.4153947
5/5A,25,13334.333,281.5694333
5/5A,26,13596.705,185.8097445
5/5A,27,14135.892,179.3915457
5/5A,28,14318.954,172.6224494
5/5A,29,14412.213,216.5831822
5/5A,30,14638.951,242.7195154
5/5A,31,14736.495,255.6247561
5/5A,32,14997.941,429.167705
5/5B,1,-71.848,21.67933527
5/5B,2,-70.688,28.72482793
5/5B,3,-69.591,35.73205362
5/5B,4,-68.211,43.34762892
5/5B,5,-64.916,55.01576602
5/5B,6,-56.986,72.54050828
5/5B,7,229.087,144.7210209
5/5B,8,841.764,782.9552402
5/5B,9,1274.342,978.4346573
5/5B,10,1676.141,1027.234434
5/5B,11,2086.5735,958.6558156
5/5B,12,2491.12,785.8295123
5/5B,13,3093.7455,175.2239899
5/5B,14,3224.164,242.3014061
5/5B,15,3314.615,285.3823832
5/5B,16,3411.206,341.0247545
5/5B,17,3606.845,397.8923159
5/5B,18,3762.059,417.7987697
5/5B,19,4127.8375,595.7938885
5/5B,20,4578.569,783.9171966
5/5B,21,5296.23,871.5716709
5/5B,22,6025.894,887.4150892
5/5B,23,7160.703,796.8105661
5/5B,24,9686.71,920.1642407
5/5B,25,11466.439,793.4431505
5/5B,26,12126.739,673.4011944
5/5B,27,13091.87,445.8133084
5/5B,28,13352.294,271.1548399
5/5B,29,13626.135,189.2970905
5/5B,30,14218.809,140.726138
5/5B,31,14326.115,176.320481
5/5B,32,14434.638,227.4724149
5/5B,33,14814.743,286.1764434
