RCTID,OriginalTaxon,Taxon,L-R-B,Bone,Element,Position,Teeth,Burned,Evidence,Notes,Diastema.length,Alveolar.length,M1.length,M1.Width,M2.Length,M2.Width,M3.Length,M3.Width,M1M2.Length,Crown.Height,Bchron Age,Age Bin,UO.Num,Cave,Unit,Quad,Level,Level.Verbatim
1,Neotoma cinerea,Neotoma cinerea,L,mandible,mandible,m1Forward,,,"Strong AM groove, pits",,,8.08,3.92,,,,,,,3.12,1218.902,Holocene,,5,5,A,4,4
2,Neotoma cinerea,Neotoma cinerea,L,mandible,lower M1,,,,"Strong AM groove, all the way down",,,,3.91,,,,,,,2.94,1539.811,Holocene,,5,5,A,5,5
3,Neotoma fuscipes,Neotoma fuscipes,L,maxilla,maxilla,M1-M2,,,"Shallow AM groove, Buccal re-entrant on M2 pinched",,,,3.2,2.6,,,,,,2.95,1539.811,Holocene,,5,5,A,5,5
4,c.f. Neotoma fuscipes,Neotoma fuscipes,L,maxilla,upper M2,,,,Buccal medial loph bent,N. lepida?,,,,,2.5,,,,,2.21,1926.551,Holocene,,5,5,A,6,6
5,Neotoma lepida,Neotoma lepida,R,mandible,lower M1,,,,"AM groove stops above ED junction, no pits, size",,,,3.13,,,,,,,2.63,1926.551,Holocene,,5,5,A,6,6
6,Neotoma cinerea,Neotoma cinerea,L,maxilla,upper M1,,,,"AM groove all the way down, pits",worn,,,3.46,,,,,,,1.57,1926.551,Holocene,,5,5,A,6,6
7,Neotoma fuscipes,Neotoma fuscipes,L,maxilla,maxilla,M1-M2,,,"Shallow anterior lingual groove on M1, angled lingual re-entrant on M2, no lingual pits",,,,3.45,,2.65,,,,,1.28,2252.775,Holocene,,5,5,A,7,7
8,Neotoma lepida,Neotoma lepida,L,mandible,mandible,m2Forward,missing m2.inc,,"Size, AM groove stops above ED junction",very worn,5.22,,3.14,,,,,,,1.2,2252.775,Holocene,,5,5,A,7,7
9,Neotoma fuscipes,Neotoma fuscipes,L,maxilla,maxilla,M1,,,AM groove absent,M1 broken and worn,,,3.72,,,,,,,1.02,2252.775,Holocene,,5,5,A,7,7
10,Neotoma lepida,Neotoma lepida,R,mandible,lower M2,,,Burned,Buccal posterior reentrant deeper than anterior and angled down,,,,,,2.45,,,,,3.63,2252.775,Holocene,,5,5,A,7,7
11,Neotoma fuscipes,Neotoma fuscipes,L,mandible,lower M2,,,,"No pits at base of grooves, Buccal posterior re-entrant deeper than anterior and angled up",,,,,,2.84,,,,,2.44,2252.775,Holocene,,5,5,A,7,7
12,Neotoma cin.fusc,Neotoma cin.fusc,R,mandible,mandible,m1Forward,missing m1.inc,Burned,,Can't distinguish between fuscipes and cinerea,7.43,,3.65,,,,,,,,2252.775,Holocene,,5,5,A,7,7
13,Neotoma cinerea,Neotoma cinerea,L,mandible,lower M1,,,,"Pits, AM groove visible",very worn,,,3.82,,,,,,,0.79,2610.04,Holocene,,5,5,A,8,8
14,Neotoma fuscipes,Neotoma fuscipes,L,mandible,lower M1,,,,"No pits, AM groove very shallow, Buccal REs are pinched, assymetric, and extend unequal depths into the tooth",worn,,,3.37,,,,,,,1.34,2610.04,Holocene,,5,5,A,8,8
